"abbreviation","full_object_type","enum_value","description"
"AI","analog-input","0","Measured physical values (Temp, Pressure, Speed)"
"AO","analog-output","1","Control signals (0-100% modulation commands)"
"AV","analog-value","2","Internal setpoints or calculation buffers"
"BI","binary-input","3","Physical status (Running/Stopped, Fault)"
"BO","binary-output","4","Binary commands (Start/Stop, Open/Close)"
"BV","binary-value","5","Internal software flags or logical triggers"
"CAL","calendar","6","Calendar scheduling object"
"CMD","command","7","Command object for priority-based control"
"DEV","device","8","BACnet device object"
"EE","event-enrollment","9","Event enrollment and alarming"
"FILE","file","10","File access object"
"GRP","group","11","Group of BACnet objects"
"CO","loop","12","Control loop / PID loop parameters (vendor abbreviation)"
"MSI","multi-state-input","13","Multi-state physical status"
"MSO","multi-state-output","14","Multi-state physical command"
"NC","notification-class","15","Notification class for alarm routing"
"PG","program","16","Control sequences and logic blocks"
"SCH","schedule","17","Weekly or daily operation timers"
"AVG","averaging","18","Averaging object for trend smoothing"
"MSV","multi-state-value","19","Internal multi-state value or mode"
"TL","trend-log","20","Historical data collection points"
"LSP","life-safety-point","21","Life safety point (fire/smoke detection)"
"LSZ","life-safety-zone","22","Life safety zone grouping"
"ACC","accumulator","23","Pulse accumulator (energy/flow metering)"
"PC","pulse-converter","24","Pulse converter"
"EL","event-log","25","Event log object"
"GG","global-group","26","Global group object"
"TLM","trend-log-multiple","27","Trend log for multiple objects"
"LC","load-control","28","Load control / demand management"
"SV","structured-view","29","Structured view (hierarchical grouping)"
"AD","access-door","30","Access control door object"
"TMR","timer","31","Timer object"
"AC","access-credential","32","Access control credential"
"AP","access-point","33","Access control point"
"AR","access-rights","34","Access rights object"
"AU","access-user","35","Access control user object"
"AZ","access-zone","36","Access control zone"
"CDI","credential-data-input","37","Credential data input"
"NS","network-security","38","Network security object"
"BSV","bitstring-value","39","Bit string value"
"CSV","characterstring-value","40","Character string value"
"DPV","datepattern-value","41","Date pattern value"
"DV","date-value","42","Date value"
"DTPV","datetimepattern-value","43","Date-time pattern value"
"DTV","datetime-value","44","Date-time value"
"IV","integer-value","45","Integer value"
"LAV","large-analog-value","46","Large analog value"
"OSV","octetstring-value","47","Octet string value"
"PIV","positive-integer-value","48","Positive integer value"
"TPV","timepattern-value","49","Time pattern value"
"TV","time-value","50","Time value"
"NF","notification-forwarder","51","Notification forwarder"
"AE","alert-enrollment","52","Alert enrollment"
"CH","channel","53","Channel object"
"LO","lighting-output","54","Lighting output"
"BLO","binary-lighting-output","55","Binary lighting output"
"NP","network-port","56","Network port object"
"EG","elevator-group","57","Elevator group"
"ESC","escalator","58","Escalator object"
"LFT","lift","59","Lift (elevator) object"
"STG","staging","60","Staging object"
"AL","audit-log","61","Audit log"
"RPT","audit-reporter","62","Audit reporter"
