Name,Target Name,Object Name,Type,Object Type,Inst Num,Value,Export Ord,Export,Fault Cause,Description,BACnet Writable
analogValue_0,P$20inst$2e$20LTE$20en$20KW,P_inst.LTE_en_KW,Bacnet Analog Value Descriptor,Analog Value,0,"264,22 kW {ok} @ 10",h:50a6,{ok},,,no
analogValue_1,Puissance$20int$e9gr$e9,Puissance_integre_LTE,Bacnet Analog Value Descriptor,Analog Value,1,"262,00 kW {ok} @ 10",h:598b,{ok},,,no
analogValue_2,PMS_Battery_SOC1,Battery_SOC,Bacnet Analog Value Descriptor,Analog Value,2,"98,4 % {ok} @ 10",h:2786,{ok},,,no
analogValue_3,WSetPG,Battery_WSet,Bacnet Analog Value Descriptor,Analog Value,3," -30,0 kW {ok} @ 10",h:34a1,{ok},,,no
analogValue_100,EngyPosSum,BcpLonNetwork.S16E_L116_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,100,"312,8 kW-hr {ok}",h:936d,{ok},,,no
analogValue_101,PowerSum,BcpLonNetwork.S16E_L116_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,101,"0,00 W {ok}",h:93bb,{ok},,,no
analogValue_102,PowerFactorAvg,BcpLonNetwork.S16E_L116_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,102,"1,00 {ok}",h:93bd,{ok},,,no
analogValue_110,EngyPosSum,BcpLonNetwork.L230_SE1_SE.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,110,"15993,6 kW-hr {ok}",h:93bf,{ok},,,no
analogValue_111,PowerSum,BcpLonNetwork.L230_SE1_SE.PowerSum,Bacnet Analog Value Descriptor,Analog Value,111,"0,00 W {ok}",h:93c1,{ok},,,no
analogValue_112,PowerFactorAvg,BcpLonNetwork.L230_SE1_SE.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,112,"1,00 {ok}",h:93c3,{ok},,,no
binaryValue_0,Mode$20PMA$20Bacnet,PMA_mode_Bacnet,Bacnet Binary Value Prioritized Descriptor,Binary Value,0,false {ok} @ 10,h:b833,{ok},,,no
analogValue_11,PMA$20ajust$e9$20Bacnet,PMA_ajuste_Bacnet,Bacnet Analog Value Prioritized Descriptor,Analog Value,11,"416,4 {ok} @ 10",h:b82f,{ok},,,"in8,in10"
analogValue_12,CRATE$20Bacnet,C_RATE_Bacnet,Bacnet Analog Value Prioritized Descriptor,Analog Value,12,"34,3 {ok} @ 10",h:b831,{ok},,,in10
analogValue_13,PMA_cible_CAL,PMA_cible_CALENDRIER_prog,Bacnet Analog Value Descriptor,Analog Value,13,"190,0 {ok} @ 10",h:bfa9,{ok},,,no
analogValue_14,PMA$20ajust$e9,PMA_AJUSTE_prog,Bacnet Analog Value Descriptor,Analog Value,14,"282,19 kW {ok} @ 10",h:b607,{ok},,,no
