bacnet,nom,valeur,unit 
2500.AI11,VITESSE RET. No.1A,"4,08806 A",Amperes
2500.AI13,TEMP. ALIM. No.1A,"18,4141 C",Celsius
2500.AI14,TEMP. RETOUR No.1A,"21,6719 C",Celsius
2500.AI15,TEMP. MEL. No.1A,"22,3984 C",Celsius
2500.AI16,HUMIDITE RET. No.1A,"0,19536 %",Percentage
2500.AI17,PRES. STAT. No.1A,"0,204517 inWC",inWC
2500.AI18,PRESSION FILTRE 1A,"0,004884 inWC",inWC
2500.AI19,STATUT HUMI. 1A,"0,019536 A",Amperes
2500.AI6,VITESSE ALIM. No. 1A,"12,7796 A",Amperes
2500.AO10,VOLET MEL. No.1A,0%,Percentage
2500.AO12,VOLET EVAC. No.1E,100%,Percentage
2500.AO13,SERP. ELECT. 1A,0%,Percentage
2500.AO40,HUMIDIFICATEUR 1A,0%,Percentage
2500.AO42,VOLET P.A.F.1A,100%,Percentage
2500.AO6,MOD. DRIVE ALM No.1A,85%,Percentage
2500.AO8,MOD. DRIVE RET No.1R,100%,Percentage
2500.AO9,SERP. REF. No.1A,100%,Percentage
2500.AV248,PC. SERP. ELEC. 1A,"17,8686 C",Celsius
2500.AV249,P.C. HUM 1A,30%,Percentage
2500.AV250,P.C. PRES STAT 1A,"0,42 inWC",inWC
2500.AV251,P.C. VOLET MEL 1A,"17,8686 C",Celsius
2500.AV252,P.C. SERP REF 1A,"17,8686 C",Celsius
2500.BI12,FAUTE VENT. RET. 1A,Normal,
2500.BI7,FAUTE VENT. ALIM. 1A,Normal,
2500.BO11,A/D EVAC. No.1E,On,On/Off
2500.BO5,A/D VENT. ALM. No.1A,On,On/Off
2500.BO7,A/D VENT. RET. No.1A,On,On/Off
2500.BV1,STATUT DIG 1E,On,On/Off
2500.BV147,PERM. REF. 1A,On,On/Off
2500.BV253,PERM REFR 1A,On,On/Off
2500.BV254,ARRET BAS LIM GEL 1A,Normal,
2500.BV255,STATUT DIG 1A,On,On/Off
2500.BV256,STATUT DIG 1R,On,On/Off
2500.CO9,PID SERP. ELEC. 1A,0%,Percentage
2500.PG10,CALCULS DIVERS 1A M2,En execution,
2500.PG11,CTRL VENT. No.1A,En execution,
2500.PG12,CTRL MOD. DRIVE 1A,En execution,
2500.PG13,CTRL SERP REFR 1A,En execution,
2500.PG14,CTRL VOLET MEL 1A,En execution,
2500.PG15,CTRL EVAC No.1E,En execution,
2500.PG16,CTRL HUMID. 1A,En execution,
2500.PG17,ALARMES 1A,En execution,
2500.PG18,CTRL.SE.1A,En execution,
2500.SCH1,OCC.1A,Marche,
