"Référence de l'objet";Alarme;Manuel;Vérifié;Nom;Valeur;Statut;Description;BACnet_IP_Global_Address;Max_Pres_Value;Number_Of_Authentication_Policies
"//04-LTE Shawinigan/1000.AI10";;;;"TEMP. EXTERIEURE";"'-1,0625 °C";;;;;
"//04-LTE Shawinigan/1000.AI2";;;;ST.PG1;"1,44289 A";;;;;
"//04-LTE Shawinigan/1000.AI20";;;;"STATUS ALIM. No.3A";"10,3047 A";;;;;
"//04-LTE Shawinigan/1000.AI22";;1;;"TEMP. ALIM. No.3A";"20 °C";out-of-service;;;;
"//04-LTE Shawinigan/1000.AI23";;;;"VITESSE RET. No.3R";"0 %RH";;;;;
"//04-LTE Shawinigan/1000.AI25";;;;"VITESSE EVAC. No.3E";"27,451 %RH";;;;;
"//04-LTE Shawinigan/1000.AI27";;;;"TEMP. GL. REC. 3A";"21,3047 °C";;;;;
"//04-LTE Shawinigan/1000.AI28";;;;"PRES. STAT. RET. 3A";"1,99702 inWC";;;;;
"//04-LTE Shawinigan/1000.AI29";;1;;"PRES. STAT. ETAGE 3A";"0,5 inWC";out-of-service;;;;
"//04-LTE Shawinigan/1000.AI3";;;;"STATUT HUM. 3A";"0,00610361 A";;;;;
"//04-LTE Shawinigan/1000.AI30";;;;"PRES. STAT. RDC 3A";"0,734302 inWC";;;;;
"//04-LTE Shawinigan/1000.AI31";;;;"STATUT EVAC 3E1";"0,945754 A";;;;;
"//04-LTE Shawinigan/1000.AI33";;;;"STATUT EVAC 3E2";"2,18463 A";;;;;
"//04-LTE Shawinigan/1000.AI38";;;;"ETAT COMPRESSEUR #1";"72,7413 A";;;;;
"//04-LTE Shawinigan/1000.AI39";;;;"ETAT COMPRESSEUR #2";"77,9019 A";;;;;
"//04-LTE Shawinigan/1000.AI4";;;;"STATUT EVAC 3E6";"6,50156 A";;;;;
"//04-LTE Shawinigan/1000.AI40";;;;"TEMP. ALIM. EAU REFR";"'-46,4219 °C";;;;;
"//04-LTE Shawinigan/1000.AI47";;;;"HUMIDITE EVAC.";"'-46,5391 °C";;;;;
"//04-LTE Shawinigan/1000.AI56";;;;"BASSE PRESSION C1.";0;;;;;
"//04-LTE Shawinigan/1000.AI57";;;;"HAUTE PRESSION C1.";0;;;;;
"//04-LTE Shawinigan/1000.AI58";;;;"BASSE PRESSION C2.";0;;;;;
"//04-LTE Shawinigan/1000.AI59";;;;"HAUTE PRESSION C2.";0;;;;;
"//04-LTE Shawinigan/1000.AI6";;;;"STATUT EVAC 3E4";"0 A";;;;;
"//04-LTE Shawinigan/1000.AI60";;;;"HUM. EVAC. No.3";"27,7858 %RH";;;;;
"//04-LTE Shawinigan/1000.AI61";;;;"HUM. RETOUR No.3";"0 %RH";;;;;
"//04-LTE Shawinigan/1000.AI63";;;;"STATUT EVAC 3E3";"1,04677 A";;;;;
"//04-LTE Shawinigan/1000.AI8";;;;"STATUT EVAC 3E8";"0,0122072 A";;;;;
"//04-LTE Shawinigan/1000.AO18";;;;"MOD. DRIVE ALM No.3A";"46,6895 %";;;;;
"//04-LTE Shawinigan/1000.AO19";;;;"SERP. REF. No.3A";"0 %";;;;;
"//04-LTE Shawinigan/1000.AO20";;;;"SERP. ELECT. No.3A";"100 %";;;;;
"//04-LTE Shawinigan/1000.AO22";;;;"MOD. DRIVE RET No.3R";"30 %";;;;;
"//04-LTE Shawinigan/1000.AO23";;;;"VOLET MEL. No.3A";"0 %";;;;;
"//04-LTE Shawinigan/1000.AO25";;;;"MOD. DRIVE EV. No.3E";"28,3 %";;;;;
"//04-LTE Shawinigan/1000.AO26";;;;"VALVE RECUP. No.3A";"100 %";;;;;
"//04-LTE Shawinigan/1000.AO28";;;;"VENT. THERMOPOMPE 1";"10 V";overridden;;;;
"//04-LTE Shawinigan/1000.AO6";;;;"VOLET AIR FRAIS 3A";"50 %";;;;;
"//04-LTE Shawinigan/1000.AO64";;1;;"HUMIDIFICATEUR No.3";"0 %";;;;;
"//04-LTE Shawinigan/1000.AV10";;;;"P.C. MAX. PIECE=>LCD";"24 °C";;;;;
"//04-LTE Shawinigan/1000.AV127";;;;"TEMP. MOYENNE No.3A";"'-7,22461 °C";;;;;
"//04-LTE Shawinigan/1000.AV128";;;;"P.C. MOYEN No.3A";"22 °C";;;;;
"//04-LTE Shawinigan/1000.AV129";;;;"P.C. ALIM. No.3A";"30 °C";;;;;
"//04-LTE Shawinigan/1000.AV138";;;;"MIN. AIR FRAIS No.3A";"50 %";;;;;
"//04-LTE Shawinigan/1000.AV139";;;;"P.C. VOLET MEL No.3A";"100 °C";;;;;
"//04-LTE Shawinigan/1000.AV141";;;;"P.C. SERP. REF No.3A";"100 °C";;;;;
"//04-LTE Shawinigan/1000.AV142";;;;"P.C. PRES.STAT 3A";"0,75 inWC";;;;;
"//04-LTE Shawinigan/1000.AV143";;;;"P.C. PRES. STAT 3R";"1,8 inWC";;;;;
"//04-LTE Shawinigan/1000.AV146";;;;"DELAI ANTI-CYC. 3A";3,33333;;;;;
"//04-LTE Shawinigan/1000.AV147";;;;"DELAI CHANGE-OV 3A";8,33333;;;;;
"//04-LTE Shawinigan/1000.AV149";;;;"P.C. ALIM. MAX 3A";"30 °C";;;;;
"//04-LTE Shawinigan/1000.AV15";;;;"HEURE DEPART 3A";800;;;;;
"//04-LTE Shawinigan/1000.AV150";;;;"P.C. ALIM. MIN. 3A";"13 °C";;;;;
"//04-LTE Shawinigan/1000.AV151";;;;"TEMP. MAX No.3A";"27 °C";;;;;
"//04-LTE Shawinigan/1000.AV152";;;;"TEMP. MIN. No.3A";"13 °C";;;;;
"//04-LTE Shawinigan/1000.AV154";;;;"TEMP. MIN. SYS 3A";"'-46,5391 °C";;;;;
"//04-LTE Shawinigan/1000.AV155";;;;"TEMP. MAX. SYS. 3A";"21 °C";;;;;
"//04-LTE Shawinigan/1000.AV157";;;;"PRES. MOYENNE 3A";"0,734302 inWC";;;;;
"//04-LTE Shawinigan/1000.AV16";;;;"P.C. NUIT No.3A";"19,5 °C";;;;;
"//04-LTE Shawinigan/1000.AV160";;;;"P.C. SERP. CH. 3A";"30 °C";;;;;
"//04-LTE Shawinigan/1000.AV162";;;;"BASSE LIM. RECUP. 3A";"6 °C";;;;;
"//04-LTE Shawinigan/1000.AV21";;;;"MAX HUM. No.3A";"27,7858 %";;;;;
"//04-LTE Shawinigan/1000.AV227";;;;"P.C. HUMIDITE No.3A";"30 %";;;;;
"//04-LTE Shawinigan/1000.AV228";;;;"P.C. BUFF. HUM. No.3";"30 %";;;;;
"//04-LTE Shawinigan/1000.AV229";;;;"TEMPS RESTANT 3E1";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV230";;;;"TEMPS TOTAL 3E1";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV232";;;;"TEMPS RESTANT 3E2";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV233";;;;"TEMPS TOTAL 3E2";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV235";;;;"TEMPS RESTANT 3E3";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV236";;;;"TEMPS TOTAL 3E3";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV238";;;;"TEMPS RESTANT 3E4";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV239";;;;"TEMPS TOTAL 3E4";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV241";;;;"TEMPS RESTANT 3E6";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV242";;;;"TEMPS TOTAL 3E6";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV244";;;;"TEMPS RESTANT 3E8";"0 min";;;;;
"//04-LTE Shawinigan/1000.AV245";;;;"TEMPS TOTAL 3E8";"120 min";;;;;
"//04-LTE Shawinigan/1000.AV35";;;;"VARIABLE TP1.A301";"20,9297 °C";;;;;
"//04-LTE Shawinigan/1000.AV36";;;;"VARIABLE PCJ1.A301";"21 °C";;;;;
"//04-LTE Shawinigan/1000.AV37";;;;"VARIABLE TP2.A301";"20,9141 °C";;;;;
"//04-LTE Shawinigan/1000.AV38";;;;"VARIABLE PCJ2.A301";"21 °C";;;;;
"//04-LTE Shawinigan/1000.AV39";;;;"VARIABLE TP.A302";"24,5859 °C";;;;;
"//04-LTE Shawinigan/1000.AV40";;;;"VARIABLE PCJ.A302";"21 °C";;;;;
"//04-LTE Shawinigan/1000.AV44";;;;M37_U3_S3A_Z110A1;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV45";;;;M37_U3_S3A_Z110A2;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV46";;;;M37_U3_S3A_Z110C;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV47";;;;M37_U3_S3A_Z110F;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV48";;;;M37_U3_S3A_Z110B;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV49";;;;M37_U3_S3A_Z128;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV50";;;;M37_U3_S3A_Z128A;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV51";;;;M37_U3_S3A_Z206A;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV52";;;;M37_U3_S3A_Z206B;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV53";;;;M37_U3_S3A_Z206C;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV54";;;;M37_U3_S3A_Z206D;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV55";;;;M37_U3_S3A_Z206E;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV56";;;;M37_U3_S3A_Z226A;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV57";;;;M37_U3_S3A_Z226B;"0 %";;;;;
"//04-LTE Shawinigan/1000.AV8";;;;"DELAI TOTAL OVERRIDE";"180 min";;;;;
"//04-LTE Shawinigan/1000.AV9";;;;"P.C. MIN. PIECE=>LCD";"21 °C";;;;;
"//04-LTE Shawinigan/1000.AV94";;;;"P.C. BUFFER HUM. No.";"30 %";;;;;
"//04-LTE Shawinigan/1000.BI1";;;;"BOUTON 3E6";inactive;;;;;
"//04-LTE Shawinigan/1000.BI21";;;;"FAUTE VENT. ALIM. 3A";inactive;;;;;
"//04-LTE Shawinigan/1000.BI24";;;;"FAUTE VENT. RET. 3R";active;;;;;
"//04-LTE Shawinigan/1000.BI26";;;;"FAUTE VENT. EVAC. 3E";inactive;;;;;
"//04-LTE Shawinigan/1000.BI32";;;;"BOUTON 3E1";inactive;;;;;
"//04-LTE Shawinigan/1000.BI34";;;;"BOUTON 3E2";inactive;;;;;
"//04-LTE Shawinigan/1000.BI64";;;;"BOUTON 3E3";inactive;;;;;
"//04-LTE Shawinigan/1000.BI7";;;;"BOUTON 3E4";inactive;;;;;
"//04-LTE Shawinigan/1000.BI9";;;;"BOUTON 3E8";inactive;;;;;
"//04-LTE Shawinigan/1000.BO17";;;;"A/D VENT. ALM. No.3A";active;;;;;
"//04-LTE Shawinigan/1000.BO2";;;;"VENT. EVAC. 3E3";active;;;;;
